selling_price,km_driven,age,make,model,Petrol,Manual
2.75,59000,14,MARUTI,SWIFT DZIRE,1,1
19.5,20000,8,MERCEDES-BENZ,GLA AMG,1,0
5.5,86113,9,HONDA,CITY I,1,1
13.25,45000,7,TOYOTA,COROLLA ALTIS,0,1
7.5,10000,5,MARUTI,SWIFT DZIRE,0,1
2.9,70000,12,NISSAN,MICRA XV,1,1
2.72,92537,8,MARUTI,WAGON R,1,1
9.51,27645,4,MARUTI,CIAZ 1.3,0,1
2.8,46242,10,MARUTI,ALTO K10,1,1
5.45,70000,10,HONDA,CITY V,1,1
4.5,6000,3,RENAULT,KWID RXT,1,1
4.8,64000,6,HYUNDAI,I20 2015-2017,1,1
10.6,93000,6,MAHINDRA,SCORPIO 1.99,0,1
2.35,26200,10,MARUTI,ALTO 800,1,1
5.9,25000,6,MARUTI,BALENO ZETA,1,1
7.5,80000,6,MAHINDRA,TUV 300,0,1
4.5,70000,7,MAHINDRA,TUV 300,0,1
20.9025,50000,5,TOYOTA,FORTUNER 2016-2021,0,0
1.1,80000,15,HYUNDAI,SANTRO XING,1,1
2.8,110000,16,MAHINDRA,SCORPIO M2DI,0,1
18.51,55000,7,AUDI,A4 30,1,0
7.5,25000,5,HONDA,CITY I-VTEC,1,1
4,36000,8,HYUNDAI,GRAND I10,1,1
5.3,40000,8,MARUTI,SWIFT DZIRE,0,1
8.7,25000,5,MAHINDRA,THAR CRDE,0,1
2.95,30038,5,RENAULT,KWID RXL,1,1
3.7,53000,6,TATA,TIAGO 1.05,0,1
5.3,5000,5,MARUTI,SWIFT VXI,1,1
6,41217,9,HYUNDAI,XCENT 1.1,0,1
3.5,35000,6,RENAULT,KWID CLIMBER,1,0
4.7,62000,10,FORD,ECOSPORT 1.5,0,1
3.9,42000,8,FORD,ASPIRE 1.5,0,1
1.16,120000,18,AMBASSADOR,AVIGO 2000,0,1
9.2,80000,8,MAHINDRA,SCORPIO S10,0,1
5.5,60000,10,MAHINDRA,XUV500 W8,0,1
6.35,45000,9,HYUNDAI,VERNA 1.6,0,1
12.5,50000,6,MAHINDRA,XUV500 AT,0,0
3,12000,5,MARUTI,ALTO 800,1,1
9.6,12000,5,HONDA,CITY I-VTEC,1,0
7.5,15000,5,MARUTI,VITARA BREZZA,0,1
2.49,63000,12,VOLKSWAGEN,POLO PETROL,1,1
14,30000,5,TATA,HEXA XT,0,1
2.5,160800,12,FORD,FIGO DIESEL,0,1
6.1,120000,9,HYUNDAI,VERNA 1.6,0,1
1.65,62821,13,MARUTI,ZEN ESTILO,1,1
5.45,78247,7,FORD,ECOSPORT 2015-2021,0,1
4.8,113000,10,HYUNDAI,VERNA 1.6,0,1
3.95,52000,9,HYUNDAI,I20 2015-2017,1,1
4.95,109000,11,TOYOTA,INNOVA 2.5,0,1
4.7,90000,6,HYUNDAI,GRAND I10,1,1
2,35000,12,TATA,INDICA EXETA,1,1
2.8,90000,13,SKODA,LAURA 1.9,0,1
1.49,62001,15,CHEVROLET,AVEO 1.4,1,1
2,98000,12,VOLKSWAGEN,POLO DIESEL,0,1
